------------------------------------------------------------
Server listening on UDP port 5002
Receiving 500 byte datagrams
UDP buffer size:  224 KByte (default)
------------------------------------------------------------
[  3] local 192.168.200.2 port 5002 connected with 192.168.200.1 port 37582
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0-10.0 sec  22.0 KBytes  18.0 Kbits/sec  169.494 ms    0/   45 (0%)
[  3] 10.0-20.0 sec  22.0 KBytes  18.0 Kbits/sec  179.454 ms    0/   45 (0%)
[  3] 20.0-30.0 sec  22.5 KBytes  18.4 Kbits/sec  83.331 ms   64/  110 (58%)
[  3] 30.0-40.0 sec  22.0 KBytes  18.0 Kbits/sec  23.851 ms  202/  247 (82%)
[  3] 40.0-50.0 sec  22.5 KBytes  18.4 Kbits/sec  19.769 ms  207/  253 (82%)
[  3] 50.0-60.0 sec  22.0 KBytes  18.0 Kbits/sec  20.721 ms  203/  248 (82%)
[  3] 60.0-70.0 sec  22.5 KBytes  18.4 Kbits/sec  20.051 ms  207/  253 (82%)
[  3] 70.0-80.0 sec  22.0 KBytes  18.0 Kbits/sec  20.273 ms  202/  247 (82%)
[  3] 80.0-90.0 sec  22.5 KBytes  18.4 Kbits/sec  20.255 ms  207/  253 (82%)
[  3] 90.0-100.0 sec  22.0 KBytes  18.0 Kbits/sec  19.936 ms  203/  248 (82%)
[  3] 100.0-110.0 sec  22.5 KBytes  18.4 Kbits/sec  20.352 ms  207/  253 (82%)
[  3] 110.0-120.0 sec  22.0 KBytes  18.0 Kbits/sec  20.016 ms  202/  247 (82%)
[  3] 120.0-130.0 sec  22.0 KBytes  18.0 Kbits/sec  20.592 ms  203/  248 (82%)
[  3] 130.0-140.0 sec  22.5 KBytes  18.4 Kbits/sec  20.357 ms  207/  253 (82%)
[  3] 140.0-150.0 sec  22.0 KBytes  18.0 Kbits/sec  20.347 ms  202/  247 (82%)
[  3] 150.0-160.0 sec  22.5 KBytes  18.4 Kbits/sec  20.412 ms  207/  253 (82%)
[  3] 160.0-170.0 sec  22.0 KBytes  18.0 Kbits/sec  20.840 ms  203/  248 (82%)
[  3] 170.0-180.0 sec  22.5 KBytes  18.4 Kbits/sec  19.663 ms  207/  253 (82%)
[  3] 180.0-190.0 sec  22.0 KBytes  18.0 Kbits/sec  20.262 ms  202/  247 (82%)
[  3] 190.0-200.0 sec  22.5 KBytes  18.4 Kbits/sec  20.391 ms  207/  253 (82%)
[  3] 200.0-210.0 sec  22.0 KBytes  18.0 Kbits/sec  20.491 ms  203/  248 (82%)
[  3] 210.0-220.0 sec  22.0 KBytes  18.0 Kbits/sec  19.541 ms  202/  247 (82%)
[  3] 220.0-230.0 sec  22.5 KBytes  18.4 Kbits/sec  19.892 ms  207/  253 (82%)
[  3] 230.0-240.0 sec  22.0 KBytes  18.0 Kbits/sec  19.926 ms  203/  248 (82%)
[  3] 240.0-250.0 sec  22.5 KBytes  18.4 Kbits/sec  19.761 ms  207/  253 (82%)
[  3] 250.0-260.0 sec  22.0 KBytes  18.0 Kbits/sec  20.650 ms  202/  247 (82%)
[  3] 260.0-270.0 sec  22.5 KBytes  18.4 Kbits/sec  20.857 ms  207/  253 (82%)
[  3] 270.0-280.0 sec  22.0 KBytes  18.0 Kbits/sec  20.198 ms  203/  248 (82%)
[  3] 280.0-290.0 sec  22.5 KBytes  18.4 Kbits/sec  21.054 ms  207/  253 (82%)
